order_id,date,day_of_week,time_of_day,item_name,category,quantity,unit_price,total_price,payment_method,server,table_number,discount_applied
1311,2024-03-01,Friday,Afternoon,Chapman,Drinks,3,600.0,1800.0,Cash,Amaka,5.0,False
1391,2024-03-12,Tuesday,Morning,Fresh Juice,Drinks,1,700.0,700.0,Cash,Chukwu,7.0,False
1007,08/01/2024,Monday,Evening,Puff Puff,Desserts,5,450.0,2250.0,Cash,Blessing,11.0,False
1185,2024-02-08,Thursday,Morning,Fried Plantain,Starters,5,800.0,4000.0,Cash,Chukwu,7.0,False
1079,2024-01-20,Saturday,Morning,Zobo,Drinks,4,400.0,1600.0,Cash,Blessing,13.0,False
1408,2024-03-16,Saturday,Afternoon,Chapman,Drinks,2,600.0,1200.0,Cash,Chukwu,2.0,False
1011,2024-01-09,Tuesday,Afternoon,Egusi Soup,Mains,3,1500.0,4500.0,Cash,Chukwu,14.0,False
1488,2024-04-03,Wednesday,Evening,Fresh Juice,Drinks,1,700.0,700.0,Cash,Blessing,12.0,False
1118,2024-01-27,Saturday,Evening,Spring Rolls,Starters,2,900.0,1800.0,Card,Blessing,13.0,False
1138,2024-01-30,Tuesday,Afternoon,Pounded Yam,mains,1,2200.0,2200.0,Cash,Amaka,,False
1011,2024-01-09,Tuesday,Afternoon,Egusi Soup,Mains,3,1500.0,4500.0,Cash,Chukwu,14.0,False
1512,2024-04-06,Saturday,Morning,Beef Suya,Starters,4,1100.0,4400.0,Card,Blessing,4.0,False
1076,2024-01-20,Saturday,Evening,Beef Suya,Starters,3,1100.0,3300.0,Cash,Amaka,8.0,False
1440,2024-03-22,Friday,Afternoon,Chapman,Drinks,3,600.0,1800.0,Transfer,Amaka,9.0,False
1480,2024-04-02,Tuesday,Evening,Beef Suya,Starters,1,1100.0,1100.0,Cash,Amaka,,False
1141,2024-01-31,Wednesday,Afternoon,Zobo,Drinks,2,400.0,800.0,Transfer,Emeka,14.0,False
1003,2024-01-08,Monday,Evening,Beef Suya,Starters,2,1100.0,,Card,Amaka,1.0,False
1156,2024-02-02,Friday,Afternoon,Spring Rolls,Starters,1,900.0,900.0,Card,Emeka,12.0,False
1377,2024-03-10,Sunday,Morning,Fried Plantain,Starters,3,800.0,2400.0,Transfer,Chukwu,13.0,False
1132,2024-01-29,Monday,Morning,Zobo,Drinks,2,400.0,800.0,Cash,Emeka,4.0,False
1507,2024-04-06,Saturday,Afternoon,Chin Chin,Desserts,1,500.0,500.0,Card,Emeka,8.0,False
1281,2024-02-24,Saturday,Evening,Fresh Juice,Drinks,1,700.0,700.0,Cash,Amaka,14.0,False
1292,27/02/2024,Tuesday,Morning,Fresh Juice,Drinks,1,700.0,700.0,Cash,Amaka,14.0,False
1282,2024-02-25,Sunday,Evening,Fried Plantain,Starters,4,800.0,3200.0,Card,Chukwu,8.0,False
1334,2024-03-05,Tuesday,Morning,Chin Chin,Desserts,1,500.0,500.0,Cash,Blessing,6.0,False
1288,2024-02-26,Monday,Evening,Chapman,Drinks,3,600.0,1800.0,Cash,Emeka,7.0,False
1251,2024-02-20,Tuesday,Morning,Puff Puff,Desserts,5,450.0,2250.0,Card,Amaka,3.0,False
1465,2024-03-29,Friday,Afternoon,Pounded Yam,mains,1,2200.0,2200.0,Cash,Blessing,2.0,False
1437,2024-03-22,Friday,Evening,Jollof Rice,Mains,2,1800.0,3240.0,Cash,Emeka,7.0,True
1508,2024-04-06,Saturday,Afternoon,Beef Suya,Starters,1,1100.0,1100.0,Transfer,Blessing,8.0,False
1398,2024-03-14,Thursday,Evening,Pepper Soup,Starters,2,1200.0,2160.0,Cash,Chukwu,5.0,True
1056,2024-01-15,Monday,Evening,Jollof Rice,Mains,1,1800.0,1800.0,Cash,Chukwu,,False
1375,2024-03-09,Saturday,Afternoon,Zobo,Drinks,2,400.0,800.0,Card,Emeka,5.0,False
1339,2024-03-06,Wednesday,Morning,Chapman,Drinks,3,600.0,1800.0,Transfer,Amaka,12.0,False
1031,2024-01-11,Thursday,Afternoon,Chapman,Drinks,2,600.0,1200.0,Card,Emeka,15.0,False
1074,2024-01-19,Friday,Afternoon,Pounded Yam,Mains,2,2200.0,4400.0,Card,Blessing,,False
1333,2024-03-05,Tuesday,Afternoon,Zobo,Drinks,4,400.0,1600.0,Transfer,Amaka,7.0,False
1069,2024-01-19,Friday,Morning,Jollof Rice,Mains,2,1800.0,3600.0,Transfer,Chukwu,,False
1010,2024-01-08,Monday,Morning,Jollof Rice,Mains,4,1800.0,7200.0,Transfer,Amaka,6.0,False
1080,2024-01-21,Sunday,Evening,Beef Suya,Starters,3,1100.0,3300.0,Card,Blessing,2.0,False
1102,2024-01-24,Wednesday,Evening,Pounded Yam,Mains,1,2200.0,2200.0,Cash,Blessing,,False
1105,2024-01-24,Wednesday,Afternoon,Jollof Rice,mains,1,1800.0,1620.0,Cash,Emeka,5.0,True
